group experiment tissue day pig_num treatment design invsimpson shannon sample
FS2D21P74 FS2 feces 21 74 RPS feces_21_RPS 4.38985906652413 1.90369290930661 feces_21_74
FS2D21P75 FS2 feces 21 75 RPS feces_21_RPS 4.84484589365444 2.17079913193392 feces_21_75
FS2D21P76 FS2 feces 21 76 RPS feces_21_RPS 3.77696489793576 1.72333839788434 feces_21_76
FS2D21P83 FS2 feces 21 83 control feces_21_control 6.33454239768358 2.37327814018258 feces_21_83
FS2D21P84 FS2 feces 21 84 control feces_21_control 2.51651351801127 1.48360007266096 feces_21_84
FS2D21P79 FS2 feces 21 79 RPS feces_21_RPS 4.02348634936844 1.83193242067493 feces_21_79
FS2D21P80 FS2 feces 21 80 RPS feces_21_RPS 5.5597840195858 2.35412297847943 feces_21_80
FS2D21P81 FS2 feces 21 81 control feces_21_control 8.42840706881455 2.66921115430928 feces_21_81
FS2D21P82 FS2 feces 21 82 control feces_21_control 2.57186016673303 1.35830369602858 feces_21_82
FS2D21P77 FS2 feces 21 77 RPS feces_21_RPS 6.06514153928289 2.41374861431873 feces_21_77
FS2D21P78 FS2 feces 21 78 RPS feces_21_RPS 5.96089753748507 2.14729494074209 feces_21_78
FS2D21P85 FS2 feces 21 85 control feces_21_control 2.13514676405461 1.4777295478095 feces_21_85
FS2D21P86 FS2 feces 21 86 control feces_21_control 3.26156294494585 1.98663219663829 feces_21_86
FS2D21P87 FS2 feces 21 87 control feces_21_control 4.22902720786994 1.90042404100369 feces_21_87
FS2D21P90 FS2 feces 21 90 RPS feces_21_RPS 2.93596930241711 1.46021966185748 feces_21_90
FS2D21P91 FS2 feces 21 91 RPS feces_21_RPS 2.88561791494322 1.51509125246343 feces_21_91
FS2D21P92 FS2 feces 21 92 RPS feces_21_RPS 4.24097992844582 1.94108798837433 feces_21_92
FS2D21P93 FS2 feces 21 93 RPS feces_21_RPS 4.42413250162345 1.97204466074294 feces_21_93
FS2D21P94 FS2 feces 21 94 RPS feces_21_RPS 5.2484703796554 2.11999120083651 feces_21_94
FS2D21P95 FS2 feces 21 95 RPS feces_21_RPS 6.60844504813087 2.30443188901361 feces_21_95
FS2D21P96 FS2 feces 21 96 RPS feces_21_RPS 2.85584164101255 1.52436670289103 feces_21_96
X2P67N4ACD21 FS2 colon 21 67 control colon_21_control 1.68934981255371 1.04848729301257 colon_21_67
X2P67N4AFD12 FS2 feces 12 67 control feces_12_control 3.41781235611273 2.02482826124208 feces_12_67
X2P67N4AFD15 FS2 feces 15 67 control feces_15_control 2.1763978247847 1.23127469426031 feces_15_67
X2P67N4AMD21 FS2 cec_cont_RNA 21 67 control cec_cont_RNA_21_control 2.09457823516667 1.47247090150151 cec_cont_RNA_21_67
X2P67N4AXD21 FS2 cecum 21 67 control cecum_21_control 2.06976960336636 1.25304597629375 cecum_21_67
X2P67N4AiD21 FS2 ileum 21 67 control ileum_21_control 2.60105575610221 1.91753649673867 ileum_21_67
X2P68N4ACD21 FS2 colon 21 68 control colon_21_control 4.23759121738044 1.91262615660496 colon_21_68
X2P68N4AFD12 FS2 feces 12 68 control feces_12_control 5.58044017339635 2.26002324399726 feces_12_68
X2P68N4AFD15 FS2 feces 15 68 control feces_15_control 3.90723610413984 2.06629986724965 feces_15_68
X2P68N4AFD19 FS2 feces 19 68 control feces_19_control 5.83451778237769 2.73094256786951 feces_19_68
X2P68N4AMD21 FS2 cec_cont_RNA 21 68 control cec_cont_RNA_21_control 6.26453912719751 2.23215233367457 cec_cont_RNA_21_68
X2P68N4AXD21 FS2 cecum 21 68 control cecum_21_control 3.40967102546875 1.66333703837498 cecum_21_68
X2P68N4AiD21 FS2 ileum 21 68 control ileum_21_control 5.58754570432408 2.20239535956831 ileum_21_68
X2P69N4ACD21 FS2 colon 21 69 control colon_21_control 2.42869134299268 1.23473058800086 colon_21_69
X2P69N4AFD12 FS2 feces 12 69 control feces_12_control 11.6804242082629 3.26814191919767 feces_12_69
X2P69N4AFD15 FS2 feces 15 69 control feces_15_control 4.19780957686457 2.26214382574257 feces_15_69
X2P69N4AFD19 FS2 feces 19 69 control feces_19_control 7.48716936505042 2.64714850823557 feces_19_69
X2P69N4AMD21 FS2 cec_cont_RNA 21 69 control cec_cont_RNA_21_control 3.46174436329804 1.79627426191125 cec_cont_RNA_21_69
X2P69N4AXD21 FS2 cecum 21 69 control cecum_21_control 2.4743662245897 1.28747616135099 cecum_21_69
X2P69N4AiD21 FS2 ileum 21 69 control ileum_21_control 3.02513902293304 1.64052858733779 ileum_21_69
X2P70N4ACD21 FS2 colon 21 70 control colon_21_control 3.96380529672537 1.78603297712774 colon_21_70
X2P70N4AFD12 FS2 feces 12 70 control feces_12_control 6.36648261462005 2.44535275940355 feces_12_70
X2P70N4AFD15 FS2 feces 15 70 control feces_15_control 5.21696036140829 2.2496651629506 feces_15_70
X2P70N4AFD19 FS2 feces 19 70 control feces_19_control 8.18673524258242 2.62822778079339 feces_19_70
X2P70N4AMD21 FS2 cec_cont_RNA 21 70 control cec_cont_RNA_21_control 4.92149631770033 2.13291645556014 cec_cont_RNA_21_70
X2P70N4AXD21 FS2 cecum 21 70 control cecum_21_control 3.62500131603776 1.65941770905249 cecum_21_70
X2P70N4AiD21 FS2 ileum 21 70 control ileum_21_control 6.26591595669325 2.34167086026394 ileum_21_70
X2P71N4AMD21 FS2 cec_cont_RNA 21 71 control cec_cont_RNA_21_control 3.44439981223692 1.98820714189942 cec_cont_RNA_21_71
X2P71N4BCD21 FS2 colon 21 71 control colon_21_control 2.58534703241711 1.4997086549558 colon_21_71
X2P71N4BFD12 FS2 feces 12 71 control feces_12_control 13.9591582151367 3.41752690260036 feces_12_71
X2P71N4BFD15 FS2 feces 15 71 control feces_15_control 9.1872389424488 2.88438464122223 feces_15_71
X2P71N4BFD19 FS2 feces 19 71 control feces_19_control 5.81929375912508 2.46783847859644 feces_19_71
X2P71N4BXD21 FS2 cecum 21 71 control cecum_21_control 3.89140653866384 1.80909496575178 cecum_21_71
X2P71N4BiD21 FS2 ileum 21 71 control ileum_21_control 7.18813805109066 2.46210369980114 ileum_21_71
X2P72N4AMD21 FS2 cec_cont_RNA 21 72 control cec_cont_RNA_21_control 2.13680515541136 1.53664212579742 cec_cont_RNA_21_72
X2P72N4BCD21 FS2 colon 21 72 control colon_21_control 1.14477605031045 0.381531932042829 colon_21_72
X2P72N4BFD12 FS2 feces 12 72 control feces_12_control 3.03062220070619 1.58565796657686 feces_12_72
X2P72N4BFD15 FS2 feces 15 72 control feces_15_control 5.17479490570749 2.07391333779111 feces_15_72
X2P72N4BFD19 FS2 feces 19 72 control feces_19_control 3.46928664659724 1.76277617861146 feces_19_72
X2P72N4BXD21 FS2 cecum 21 72 control cecum_21_control 1.09564367259288 0.292276223916226 cecum_21_72
X2P72N4BiD21 FS2 ileum 21 72 control ileum_21_control 10.491281938295 2.89944246274142 ileum_21_72
X2P73N4AMD21 FS2 cec_cont_RNA 21 73 control cec_cont_RNA_21_control 4.21624391493723 1.98587631275331 cec_cont_RNA_21_73
X2P73N4BCD21 FS2 colon 21 73 control colon_21_control 5.41192089172729 2.11123888343356 colon_21_73
X2P73N4BFD12 FS2 feces 12 73 control feces_12_control 9.87465281224836 2.80347271866626 feces_12_73
X2P73N4BFD15 FS2 feces 15 73 control feces_15_control 7.89679896121493 2.63266892465688 feces_15_73
X2P73N4BFD19 FS2 feces 19 73 control feces_19_control 2.62757964426959 1.83046977747419 feces_19_73
X2P73N4BXD21 FS2 cecum 21 73 control cecum_21_control 5.63126309989004 2.047920996571 cecum_21_73
X2P73N4BiD21 FS2 ileum 21 73 control ileum_21_control 7.5452899589024 2.39934597145478 ileum_21_73
X2P74N5ACD21 FS2 colon 21 74 RPS colon_21_RPS 3.67187337213547 1.61943532397029 colon_21_74
X2P74N5AFD12 FS2 feces 12 74 RPS feces_12_RPS 14.1390200680412 3.24133854445382 feces_12_74
X2P74N5AFD15 FS2 feces 15 74 RPS feces_15_RPS 4.41982508440166 2.05795606445764 feces_15_74
X2P74N5AFD19 FS2 feces 19 74 RPS feces_19_RPS 5.68571290657765 2.15063158958341 feces_19_74
X2P74N5AMD21 FS2 cec_cont_RNA 21 74 RPS cec_cont_RNA_21_RPS 3.42764024431334 1.52856831852904 cec_cont_RNA_21_74
X2P74N5AXD21 FS2 cecum 21 74 RPS cecum_21_RPS 3.74818976959181 1.5210776669482 cecum_21_74
X2P74N5AiD21 FS2 ileum 21 74 RPS ileum_21_RPS 8.16968586358766 2.56509818994086 ileum_21_74
X2P75N5ACD21 FS2 colon 21 75 RPS colon_21_RPS 4.06685365337317 2.13738181638625 colon_21_75
X2P75N5AFD12 FS2 feces 12 75 RPS feces_12_RPS 7.60205981059525 2.89492952924037 feces_12_75
X2P75N5AFD15 FS2 feces 15 75 RPS feces_15_RPS 5.62303568893629 2.45575477661562 feces_15_75
X2P75N5AFD19 FS2 feces 19 75 RPS feces_19_RPS 5.01853571028142 2.16765335629807 feces_19_75
X2P75N5AMD21 FS2 cec_cont_RNA 21 75 RPS cec_cont_RNA_21_RPS 4.14528010076033 2.24992695855062 cec_cont_RNA_21_75
X2P75N5AXD21 FS2 cecum 21 75 RPS cecum_21_RPS 3.99948175093128 2.02778456167036 cecum_21_75
X2P75N5AiD21 FS2 ileum 21 75 RPS ileum_21_RPS 3.00653628136572 1.72800152309496 ileum_21_75
X2P76N5ACD21 FS2 colon 21 76 RPS colon_21_RPS 5.12512967309784 2.06922230382366 colon_21_76
X2P76N5AFD12 FS2 feces 12 76 RPS feces_12_RPS 2.33137352128639 1.5392728158198 feces_12_76
X2P76N5AFD15 FS2 feces 15 76 RPS feces_15_RPS 1.75895632860182 1.20560068472724 feces_15_76
X2P76N5AFD19 FS2 feces 19 76 RPS feces_19_RPS 5.71423902608411 2.2349246285577 feces_19_76
X2P76N5AMD21 FS2 cec_cont_RNA 21 76 RPS cec_cont_RNA_21_RPS 1.9551686015097 1.10989630531734 cec_cont_RNA_21_76
X2P76N5AXD21 FS2 cecum 21 76 RPS cecum_21_RPS 4.33769005119717 1.71231426765711 cecum_21_76
X2P76N5AiD21 FS2 ileum 21 76 RPS ileum_21_RPS 7.60553453305988 2.5857125251156 ileum_21_76
X2P77N5ACD21 FS2 colon 21 77 RPS colon_21_RPS 3.4198282916185 1.65603081735116 colon_21_77
X2P77N5AFD12 FS2 feces 12 77 RPS feces_12_RPS 3.82829583038615 2.07804498239419 feces_12_77
X2P77N5AFD15 FS2 feces 15 77 RPS feces_15_RPS 1.5123763262763 0.988776608180977 feces_15_77
X2P77N5AFD19 FS2 feces 19 77 RPS feces_19_RPS 7.99724136452402 2.76745475250488 feces_19_77
X2P77N5AXD21 FS2 cecum 21 77 RPS cecum_21_RPS 2.98648817256387 1.5494579975762 cecum_21_77
X2P77N5AiD21 FS2 ileum 21 77 RPS ileum_21_RPS 5.2522086458997 2.20873659186438 ileum_21_77
X2P78N5AMD21 FS2 cec_cont_RNA 21 78 RPS cec_cont_RNA_21_RPS 6.87804465779821 2.28902258383271 cec_cont_RNA_21_78
X2P78N5BCD21 FS2 colon 21 78 RPS colon_21_RPS 8.90155656803298 2.46469754440029 colon_21_78
X2P78N5BFD12 FS2 feces 12 78 RPS feces_12_RPS 7.24186792260511 2.85780713188409 feces_12_78
X2P78N5BFD15 FS2 feces 15 78 RPS feces_15_RPS 9.25811889441145 2.66831734569698 feces_15_78
X2P78N5BFD19 FS2 feces 19 78 RPS feces_19_RPS 5.05091730592587 2.23759298137431 feces_19_78
X2P78N5BXD21 FS2 cecum 21 78 RPS cecum_21_RPS 4.1826484871648 1.93093190719332 cecum_21_78
X2P78N5BiD21 FS2 ileum 21 78 RPS ileum_21_RPS 9.61448262381565 2.73005875648633 ileum_21_78
X2P79N5AMD21 FS2 cec_cont_RNA 21 79 RPS cec_cont_RNA_21_RPS 5.23215719737926 2.21939753988046 cec_cont_RNA_21_79
X2P79N5BCD21 FS2 colon 21 79 RPS colon_21_RPS 6.05141502865479 2.18026944901152 colon_21_79
X2P79N5BFD12 FS2 feces 12 79 RPS feces_12_RPS 10.3990260856636 2.94858674206728 feces_12_79
X2P79N5BFD15 FS2 feces 15 79 RPS feces_15_RPS 7.31390923693073 2.45315293752208 feces_15_79
X2P79N5BFD19 FS2 feces 19 79 RPS feces_19_RPS 6.6937925836419 2.44488554054203 feces_19_79
X2P79N5BXD21 FS2 cecum 21 79 RPS cecum_21_RPS 8.71734087947914 2.66852718266127 cecum_21_79
X2P79N5BiD21 FS2 ileum 21 79 RPS ileum_21_RPS 13.2056598652301 3.07044206633323 ileum_21_79
X2P80N5AMD21 FS2 cec_cont_RNA 21 80 RPS cec_cont_RNA_21_RPS 7.95985246991958 2.63406602181191 cec_cont_RNA_21_80
X2P80N5BCD21 FS2 colon 21 80 RPS colon_21_RPS 2.35493622882493 1.56428985062258 colon_21_80
X2P80N5BFD12 FS2 feces 12 80 RPS feces_12_RPS 2.73378354525705 1.80295515834339 feces_12_80
X2P80N5BFD15 FS2 feces 15 80 RPS feces_15_RPS 2.68248819977322 1.66174762528888 feces_15_80
X2P80N5BXD21 FS2 cecum 21 80 RPS cecum_21_RPS 5.55760950001738 2.08734199249287 cecum_21_80
X2P80N5BiD21 FS2 ileum 21 80 RPS ileum_21_RPS 10.6480921115235 2.94967860020927 ileum_21_80
X2P81N4AFD12 FS2 feces 12 81 control feces_12_control 3.37828268838735 2.01745630091778 feces_12_81
X2P81N4AFD15 FS2 feces 15 81 control feces_15_control 13.2999509723811 3.2254768439504 feces_15_81
X2P81N4AFD19 FS2 feces 19 81 control feces_19_control 11.8290560343347 3.21282117503548 feces_19_81
X2P82N4AFD12 FS2 feces 12 82 control feces_12_control 1.72494758909853 1.01146236571884 feces_12_82
X2P83N4AFD12 FS2 feces 12 83 control feces_12_control 5.36268813004546 2.17393617835365 feces_12_83
X2P83N4AFD15 FS2 feces 15 83 control feces_15_control 4.79857801868173 2.13350217325186 feces_15_83
X2P83N4AFD19 FS2 feces 19 83 control feces_19_control 10.2042243727844 2.92177256824401 feces_19_83
X2P84N4AFD12 FS2 feces 12 84 control feces_12_control 6.60270331268651 2.63869937242236 feces_12_84
X2P84N4AFD15 FS2 feces 15 84 control feces_15_control 4.29176918194248 2.38017318850894 feces_15_84
X2P85N4BFD12 FS2 feces 12 85 control feces_12_control 9.80470035201163 3.10394157172772 feces_12_85
X2P85N4BFD15 FS2 feces 15 85 control feces_15_control 3.00590633539255 1.42496278952739 feces_15_85
X2P85N4BFD19 FS2 feces 19 85 control feces_19_control 4.13710772393229 1.90177456125275 feces_19_85
X2P86N4BFD12 FS2 feces 12 86 control feces_12_control 3.28518280120749 1.71587773056264 feces_12_86
X2P86N4BFD15 FS2 feces 15 86 control feces_15_control 1.89516060058717 1.28481724549648 feces_15_86
X2P86N4BFD19 FS2 feces 19 86 control feces_19_control 3.69428751354604 2.08803512836632 feces_19_86
X2P87N4BFD12 FS2 feces 12 87 control feces_12_control 5.64493416182281 2.25806336878552 feces_12_87
X2P87N4BFD15 FS2 feces 15 87 control feces_15_control 6.33771750350087 2.25532195434127 feces_15_87
X2P87N4BFD19 FS2 feces 19 87 control feces_19_control 5.5102577959865 2.01897609817146 feces_19_87
X2P90N5AFD12 FS2 feces 12 90 RPS feces_12_RPS 16.5932604263207 3.30449005815331 feces_12_90
X2P90N5AFD15 FS2 feces 15 90 RPS feces_15_RPS 4.84407514106807 2.21042549879712 feces_15_90
X2P91N5AFD12 FS2 feces 12 91 RPS feces_12_RPS 5.30841857458832 2.58497953151543 feces_12_91
X2P91N5AFD15 FS2 feces 15 91 RPS feces_15_RPS 6.28947686427698 2.29336803715946 feces_15_91
X2P91N5AFD19 FS2 feces 19 91 RPS feces_19_RPS 5.25414453489532 2.06808733713749 feces_19_91
X2P92N5AFD12 FS2 feces 12 92 RPS feces_12_RPS 8.29209607350939 2.64652777712934 feces_12_92
X2P92N5AFD15 FS2 feces 15 92 RPS feces_15_RPS 5.54496893055707 2.27377101413694 feces_15_92
X2P93N5BFD12 FS2 feces 12 93 RPS feces_12_RPS 4.94355922675158 2.24255206798599 feces_12_93
X2P93N5BFD15 FS2 feces 15 93 RPS feces_15_RPS 8.13005082153613 2.52312496873307 feces_15_93
X2P93N5BFD19 FS2 feces 19 93 RPS feces_19_RPS 2.90256754776298 1.92383587408144 feces_19_93
X2P94N5BFD12 FS2 feces 12 94 RPS feces_12_RPS 1.69364087048583 1.08823556062123 feces_12_94
X2P94N5BFD15 FS2 feces 15 94 RPS feces_15_RPS 6.36617474711846 2.30529572743013 feces_15_94
X2P94N5BFD19 FS2 feces 19 94 RPS feces_19_RPS 5.61470550603489 2.49472047856339 feces_19_94
X2P95N5BFD12 FS2 feces 12 95 RPS feces_12_RPS 2.97596044846526 1.79411852083661 feces_12_95
X2P95N5BFD15 FS2 feces 15 95 RPS feces_15_RPS 3.3331163894178 1.84351662548381 feces_15_95
X2P95N5BFD19 FS2 feces 19 95 RPS feces_19_RPS 9.30333949256008 2.78297519044103 feces_19_95
X2P96N5BFD12 FS2 feces 12 96 RPS feces_12_RPS 4.8037691502777 1.95627207602986 feces_12_96
X2P96N5BFD15 FS2 feces 15 96 RPS feces_15_RPS 1.92848790567538 1.27006850340598 feces_15_96
X2P96N5BFD19 FS2 feces 19 96 RPS feces_19_RPS 3.2031877071752 1.57299119749815 feces_19_96
