baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	newp	Treatment	name	tissue	otu
Otu033	159.584231445144	4.19006648283459	1.29372725354283	3.23875567385647	0.00120052366546543	0.013926074519399	1.4e-02	RPS	Megasphaera elsdenii 98.718	D19_feces	Otu033
Otu034	62.7482429813525	5.77773870531452	1.69650337401631	3.40567475067043	0.000660007583774206	0.00883394765974706	9.0e-03	RPS	Anaerostipes hadrus 100	D19_feces	Otu034
Otu044	92.9346015699413	-5.12767071551257	1.16618820433467	-4.39694956307501	1.09782842449382e-05	0.000318370243103208	0.0e+00	Control	Peptostreptococcaceae bacterium oral taxon 113 str. W5053 70.536	D19_feces	Otu044
Otu045	95.8528414346765	8.42190603618471	1.57702556006431	5.34037383378952	9.27551112466599e-08	4.03484733922971e-06	0.0e+00	RPS	Clostridium sp. CAG:75 90.179	D19_feces	Otu045
Otu046	66.5653763836326	2.65780239754877	0.922825296892157	2.88007102373502	0.00397585594687706	0.031693043184731	3.2e-02	RPS	Roseburia sp. CAG:182 100	D19_feces	Otu046
Otu062	129.815162766159	4.43516200379443	1.38233436634957	3.20845817897639	0.00133448715720624	0.0145125478346179	1.5e-02	RPS	uncultured Faecalibacterium sp. 100	D19_feces	Otu062
Otu0672	45.6905307382072	8.5339834077653	1.12548007808427	7.58252729119058	3.38887769088435e-14	5.89664718213877e-12	0.0e+00	RPS	Clostridium sp. CAG:167 100	D19_feces	Otu067
Otu072	35.8224395591608	3.00846617744023	0.968713870643842	3.10562929737002	0.00189874588646838	0.0173885149602894	1.7e-02	RPS	Faecalibacterium prausnitzii 98.214	D19_feces	Otu072
Otu073	54.8015254002174	-4.28207585757846	1.06035381506401	-4.03834625456595	5.38293563200218e-05	0.00117078849996047	1.0e-03	Control	Oscillibacter sp. 1-3 81.25	D19_feces	Otu073
Otu089	23.1562962409592	2.18952671987436	0.784172435152584	2.79214956012618	0.00523591488873001	0.0364419676255609	3.6e-02	RPS	Megasphaera elsdenii 100	D19_feces	Otu089
Otu094	17.1000852254929	-5.3137298602557	1.66942464656561	-3.18297077450441	0.0014577232712874	0.0148964329168101	1.5e-02	Control	Lachnospiraceae bacterium P6B14 87.5	D19_feces	Otu094
Otu095	42.282891515348	3.62190074105809	1.089029035834	3.32580732182625	0.000881628498989291	0.0109573827731526	1.1e-02	RPS	Veillonellaceae bacterium Marseille-P2974 100	D19_feces	Otu095
Otu104	24.593785883794	3.2441284752169	0.930038572470454	3.48816551403836	0.000486346913621436	0.00705203024751082	7.0e-03	RPS	Megasphaera sp. DJF_B143 100	D19_feces	Otu104
Otu125	7.3666909988951	-3.81695226572012	0.970962016489783	-3.93110358685209	8.45568275213484e-05	0.0016347653320794	2.0e-03	Control	Pseudobutyrivibrio ruminis 89.474	D19_feces	Otu125
Otu158	5.3600263004698	-4.41752051205239	1.02926053251382	-4.2919361740834	1.77121866668827e-05	0.000440274354291084	0.0e+00	Control	Pseudobutyrivibrio sp. OR37 92.473	D19_feces	Otu158
Otu206	7.03700064846548	3.23532609893422	1.15236370474235	2.80755640395459	0.00499189370948032	0.0364419676255609	3.6e-02	RPS	Megasphaera sp. DJF_B143 100	D19_feces	Otu206
Otu209	2.87724256014641	-2.62750043149059	0.968734042467014	-2.71230318777618	0.00668174469161651	0.0447162913977413	4.5e-02	Control	Pseudobutyrivibrio sp. OR37 92.135	D19_feces	Otu209
Otu0041	522.629896020254	1.26858240775883	0.513478833070844	2.47056417140336	0.0134900113272956	0.0456584998770005	4.6e-02	RPS	Roseburia sp. CAG:197 98.214	D21_feces	Otu004
Otu005	1677.80223980265	-1.70297368253788	0.553147756767849	-3.07869581264993	0.00207908848053017	0.0109775871771993	1.1e-02	Control	Roseburia sp. CAG:197 86.607	D21_feces	Otu005
Otu0071	2425.67990941757	4.33315583943583	0.755993698698531	5.73173539263026	9.94082683386288e-09	4.37396380689967e-07	0.0e+00	RPS	Roseburia sp. CAG:197 100	D21_feces	Otu007
Otu008	24.3477997672893	-2.96815169661181	0.716445410685714	-4.14288604873744	3.42962376478876e-05	0.000565887921190145	1.0e-03	Control	Firmicutes bacterium CAG:176 91.964	D21_feces	Otu008
Otu009	45.6052050403535	3.75355280526667	0.924692613865045	4.05924384923711	4.92318807080516e-05	0.000722067583718091	1.0e-03	RPS	Chlamydia trachomatis 79.464	D21_feces	Otu009
Otu0101	644.44355269418	-3.46824407207136	0.528008211417332	-6.56854192240979	5.0810328363742e-11	6.70696334401395e-09	0.0e+00	Control	Pseudobutyrivibrio sp. JW11 91.071	D21_feces	Otu010
Otu011	863.811831145255	-3.6057880942338	0.794475091213895	-4.53857916265749	5.6634534683113e-06	0.000146224156544386	0.0e+00	Control	Coprococcus catus GD/7 100	D21_feces	Otu011
Otu014	3.88188529376287	-2.94370633162802	0.97740202273348	-3.01176615472456	0.00259732597788748	0.0126980381141166	1.3e-02	Control	Helicobacter sp. MIT 05-5293 82.143	D21_feces	Otu014
Otu019	51.1742253116183	-1.4068968921716	0.435554496287557	-3.23012827134898	0.00123734691064898	0.00816648961028329	8.0e-03	Control	Clostridium sp. CAG:43 88.393	D21_feces	Otu019
Otu0201	185.134033597125	2.98281542694708	0.773290341921388	3.85730335068676	0.000114644847209773	0.00131047483046171	1.0e-03	RPS	Lachnospiraceae bacterium V9D3004 88.393	D21_feces	Otu020
Otu022	24.2929378753004	-3.22783989552902	0.654495759094531	-4.93179650238622	8.14767747521926e-07	2.68873356682236e-05	0.0e+00	Control	Clostridium sp. CAG:58 97.321	D21_feces	Otu022
Otu024	7.48649278110658	-4.94346395183826	1.53714674309315	-3.21600001694743	0.00129990824450692	0.00817085182261491	8.0e-03	Control	Roseburia inulinivorans 92.857	D21_feces	Otu024
Otu028	51.7206720326731	-1.90802665865918	0.546552740005214	-3.49102020537118	0.000481179861787328	0.00453683869685195	5.0e-03	Control	Clostridium sp. CAG:299 89.286	D21_feces	Otu028
Otu032	9.55800345802589	-2.17661198536203	0.65372730525528	-3.32954118309631	0.000869891986546841	0.00650489887286485	7.0e-03	Control	Mogibacterium timidum ATCC 33093 61.947	D21_feces	Otu032
Otu0331	12.7172541925363	2.59079082900846	0.936522864856124	2.7663935673439	0.00566800834289257	0.0233972323800647	2.3e-02	RPS	Megasphaera elsdenii 98.718	D21_feces	Otu033
Otu0341	15.2351746877802	3.78888023755354	0.984661517244566	3.84790120381284	0.000119134075496519	0.00131047483046171	1.0e-03	RPS	Anaerostipes hadrus 100	D21_feces	Otu034
Otu0441	5.47153773133793	-3.33234464711347	0.970999653097887	-3.43187006965648	0.000599434670582331	0.00527502510112451	5.0e-03	Control	Peptostreptococcaceae bacterium oral taxon 113 str. W5053 70.536	D21_feces	Otu044
Otu0451	72.1137225089882	4.06857682522609	1.0480908817321	3.88189316035482	0.000103646415022366	0.00131047483046171	1.0e-03	RPS	Clostridium sp. CAG:75 90.179	D21_feces	Otu045
Otu048	42.0217071961661	1.20721530004851	0.436422680844344	2.76616077265489	0.00567205633456114	0.0233972323800647	2.3e-02	RPS	Clostridium sp. CAG:253 100	D21_feces	Otu048
Otu056	4.30554211986969	3.81868496370689	1.14878630985347	3.32410382240189	0.00088703166448157	0.00650489887286485	7.0e-03	RPS	Roseburia sp. CAG:309 99.099	D21_feces	Otu056
Otu061	7.73294719315626	-2.72279433046832	0.981386565877452	-2.77443611430923	0.0055297493700656	0.0233972323800647	2.3e-02	Control	Clostridium sp. CAG:58 97.321	D21_feces	Otu061
Otu0673	14.5725347764592	4.90494909493914	0.796316059089377	6.15955064443654	7.29516483689433e-10	4.81480879235026e-08	0.0e+00	RPS	Clostridium sp. CAG:167 100	D21_feces	Otu067
Otu069	10.2381321254178	-2.28218646835871	0.804121989836942	-2.83810976095988	0.00453815740553185	0.0206564406044898	2.1e-02	Control	Clostridium sp. CAG:75 78.571	D21_feces	Otu069
Otu070	1.43684189602777	-2.95624971545035	1.01699897500878	-2.90683647485961	0.00365104004032536	0.017212045904391	1.7e-02	Control	Firmicutes bacterium CAG:176 100	D21_feces	Otu070
Otu0731	10.4536534345365	-5.09935765863663	1.13843801564424	-4.47925806109954	7.49029343462341e-06	0.000146224156544386	0.0e+00	Control	Oscillibacter sp. 1-3 81.25	D21_feces	Otu073
Otu083	11.4820900586261	-2.05891528863727	0.827701540428429	-2.48750931111177	0.0128641086103326	0.044685850962208	4.5e-02	Control	uncultured Clostridium sp. 100	D21_feces	Otu083
Otu088	3.63640981753735	-2.18599635018946	0.824677540314262	-2.6507286100655	0.00803183507337214	0.0286541143158141	2.9e-02	Control	Firmicutes bacterium CAG:176 91.071	D21_feces	Otu088
Otu090	11.7463242989247	-2.36325377882177	0.880567845679098	-2.6837838678963	0.00727941484870988	0.0266911877786029	2.7e-02	Control	Clostridium sp. CAG:75 89.286	D21_feces	Otu090
Otu0941	15.6259919475755	-3.65180061080674	1.35938058239268	-2.68637102670623	0.0072232828802416	0.0266911877786029	2.7e-02	Control	Lachnospiraceae bacterium P6B14 87.5	D21_feces	Otu094
Otu100	4.37454545283232	-3.26943813470651	0.916963785132201	-3.56550409919967	0.000363157485332255	0.00368744523568136	4.0e-03	Control	Clostridiales bacterium CoAT_30-4c 81.25	D21_feces	Otu100
Otu108	19.5346780577439	-3.50863983908642	0.784604580981167	-4.47185744786091	7.75431133189923e-06	0.000146224156544386	0.0e+00	Control	Oscillibacter sp. 1-3 83.036	D21_feces	Otu108
Otu1251	2.71911541491361	-2.4544212165603	0.809988031000316	-3.03019442587213	0.00244396355257084	0.0124078149592058	1.2e-02	Control	Pseudobutyrivibrio ruminis 89.474	D21_feces	Otu125
Otu127	4.92943975011858	3.28810937893619	1.04036679732312	3.16052894747943	0.00157482955633581	0.00903815223636205	9.0e-03	RPS	[Eubacterium] cellulosolvens 81.25	D21_feces	Otu127
Otu147	3.86248920321524	3.67463856984299	1.12853621849997	3.25611044608497	0.00112949805644923	0.00784703912901572	8.0e-03	RPS	Roseburia sp. CAG:197 97.701	D21_feces	Otu147
Otu154	2.2172218938178	-3.88761368863508	1.15500453832233	-3.36588607199929	0.000762982137808028	0.00629460263691623	6.0e-03	Control	Oscillibacter sp. 1-3 79.464	D21_feces	Otu154
Otu177	4.15429784494608	3.38085162892849	1.06002229930005	3.18941557282418	0.00142560774371314	0.00855364646227885	9.0e-03	RPS	Roseburia sp. CAG:197 98.925	D21_feces	Otu177
Otu181	1.7948565751392	-3.18027843892521	1.29331431053279	-2.4590143424726	0.0139319051885579	0.0458836271436932	4.6e-02	Control	Firmicutes bacterium CAG:238 84.685	D21_feces	Otu181
Otu182	2.15092665802262	-2.66782934626026	0.974583991023903	-2.73740321083812	0.00619263398604315	0.0247705359441726	2.5e-02	Control	uncultured Flavonifractor sp. 89.286	D21_feces	Otu182
Otu204	1.7077418804232	-2.9181160132633	0.936031515791192	-3.11754034349658	0.0018236698502759	0.0100301841765175	1.0e-02	Control	Roseburia sp. CAG:197 83.908	D21_feces	Otu204
Otu2091	1.02894579563926	-2.76136088984117	1.02145053595922	-2.70337210920158	0.00686398565303028	0.0266484148882352	2.7e-02	Control	Pseudobutyrivibrio sp. OR37 92.135	D21_feces	Otu209
Otu288	1.97293490885247	-3.07890026604496	1.25625554712961	-2.45085506136062	0.0142517326734198	0.0458836271436932	4.6e-02	Control	Brachyspira murdochii DSM 12563 71.429	D21_feces	Otu288
Otu0021	3548.39497416225	1.21616500793069	0.444993792531693	2.73299319752663	0.00627616285250612	0.0428871128254585	4.3e-02	RPS	[Eubacterium rectale] ATCC 33656 100	lumped_feces	Otu002
Otu0072	3344.09681613275	4.30062192332367	0.486000455416404	8.84900801098819	8.83006355663078e-19	1.26711412037652e-16	0.0e+00	RPS	Roseburia sp. CAG:197 100	lumped_feces	Otu007
Otu0081	637.692600626256	-2.83208680905556	0.608168543214779	-4.65674662172618	3.2124540443709e-06	6.58553079096035e-05	0.0e+00	Control	Firmicutes bacterium CAG:176 91.964	lumped_feces	Otu008
Otu0111	429.373334497056	-1.89274269017211	0.552890815513718	-3.42335708437021	0.000618527668074163	0.00682759387451095	7.0e-03	Control	Coprococcus catus GD/7 100	lumped_feces	Otu011
Otu012	43.9334458319105	-4.36122677828391	0.901969474306554	-4.83522658196041	1.32994060194616e-06	3.39818530093141e-05	0.0e+00	Control	Lachnospiraceae bacterium A2 91.071	lumped_feces	Otu012
Otu0202	89.0517217801916	4.08400145710684	0.685036241722584	5.96173050178668	2.49580534361464e-09	1.4325922672348e-07	0.0e+00	RPS	Lachnospiraceae bacterium V9D3004 88.393	lumped_feces	Otu020
Otu026	1126.27154160677	-6.97402926989583	1.56469743162824	-4.45711044763371	8.3071808233245e-06	0.000158944059752942	0.0e+00	Control	Roseburia intestinalis CAG:13 89.286	lumped_feces	Otu026
Otu0342	10.3928792972703	5.0254106494532	0.954279716309176	5.26618198371621	1.39290211017172e-07	4.44181006243647e-06	0.0e+00	RPS	Anaerostipes hadrus 100	lumped_feces	Otu034
Otu0351	52.008493615351	-2.26401084317565	0.469511296424193	-4.82205829852954	1.42084402826401e-06	3.39818530093141e-05	0.0e+00	Control	uncultured Clostridium sp. 100	lumped_feces	Otu035
Otu042	165.851744581503	-7.02848310499643	2.02913052102508	-3.46379054090901	0.000532621066304937	0.00636926025122987	6.0e-03	Control	Roseburia hominis 94.643	lumped_feces	Otu042
Otu0442	225.18876335538	-2.44429406743917	0.741604618348578	-3.29595313589359	0.000980883762263953	0.0100540585632055	1.0e-02	Control	Peptostreptococcaceae bacterium oral taxon 113 str. W5053 70.536	lumped_feces	Otu044
Otu0452	36.8137069302275	7.62207054743541	0.964791718703687	7.90022385108838	2.78402984730418e-15	2.663388553921e-13	0.0e+00	RPS	Clostridium sp. CAG:75 90.179	lumped_feces	Otu045
Otu0481	41.8828381527579	1.2325230500286	0.404138308737265	3.04975554997405	0.00229027694943608	0.0212035317576824	2.1e-02	RPS	Clostridium sp. CAG:253 100	lumped_feces	Otu048
Otu049	13.5143049150776	-5.02100707071888	1.40917054023889	-3.56309398141951	0.00036650938936531	0.00457339977164539	5.0e-03	Control	Roseburia inulinivorans 93.75	lumped_feces	Otu049
Otu057	32.965054153793	1.26066288510816	0.425747169088953	2.96105993565577	0.00306582270794632	0.0265307414486768	2.7e-02	RPS	uncultured Faecalibacterium sp. 100	lumped_feces	Otu057
Otu058	94.4989827048985	-3.45260624826057	0.802561724549229	-4.30198219358116	1.69276918120489e-05	0.000285779267650473	0.0e+00	Control	uncultured Eubacterium sp. 90.179	lumped_feces	Otu058
Otu059	35.2363812685745	-6.49668450236134	1.1586315153223	-5.60720506601631	2.05619985621471e-08	8.74710000426009e-07	0.0e+00	Control	Desulfosporosinus sp. BRH_c37 65.179	lumped_feces	Otu059
Otu0611	149.199221245915	-4.26560011047541	0.962955781524535	-4.42969468828796	9.43665891896732e-06	0.000169270069358976	0.0e+00	Control	Clostridium sp. CAG:58 97.321	lumped_feces	Otu061
Otu0674	46.8333276001388	8.01629749513378	0.530630001930289	15.1071320241461	1.45328687113967e-51	4.17093332017086e-49	0.0e+00	RPS	Clostridium sp. CAG:167 100	lumped_feces	Otu067
Otu071	196.788440434997	-8.50019777641399	1.31366503209963	-6.47059757907093	9.76160900155887e-11	7.00395445861849e-09	0.0e+00	Control	Roseburia sp. 499 100	lumped_feces	Otu071
Otu0821	47.8327045978762	-7.33153209377387	1.44890481438203	-5.06005088878168	4.19144597355297e-07	1.2029449944097e-05	0.0e+00	Control	Pseudobutyrivibrio sp. JW11 91.071	lumped_feces	Otu082
Otu0881	35.4302396271876	-1.67304312784639	0.592949344154581	-2.82156164660539	0.00477904513899348	0.0351688706382341	3.5e-02	Control	Firmicutes bacterium CAG:176 91.071	lumped_feces	Otu088
Otu0891	37.8635178400697	1.53814264329582	0.570499784797555	2.69613185540752	0.00701498923214945	0.0468209746424858	4.7e-02	RPS	Megasphaera elsdenii 100	lumped_feces	Otu089
Otu0942	11.2420874679125	-5.11252203108811	1.19818301837034	-4.26689575190416	1.98211723520266e-05	0.000316037581390646	0.0e+00	Control	Lachnospiraceae bacterium P6B14 87.5	lumped_feces	Otu094
Otu103	3.15911070534	-3.43282092831122	1.18594536800065	-2.89458605846113	0.0037965882381293	0.030267245120642	3.0e-02	Control	Clostridiales bacterium 41_12_two_minus 100	lumped_feces	Otu103
Otu105	87.6012979580324	-5.89507438194889	2.05556976274897	-2.86785420216789	0.00413265927618288	0.0312124529543286	3.1e-02	Control	[Clostridium] cf. saccharolyticum K10 93.75	lumped_feces	Otu105
Otu1081	39.3859077468054	-2.26432383186794	0.674603440894505	-3.35652576699803	0.000789283659012932	0.00838979296802635	8.0e-03	Control	Oscillibacter sp. 1-3 83.036	lumped_feces	Otu108
Otu117	4.78171194829254	2.45838371237505	0.878786793825226	2.79747457477607	0.00515038206633168	0.0369539913259298	3.7e-02	RPS	Chlamydia trachomatis 77.679	lumped_feces	Otu117
Otu1271	6.37681734865073	3.54467577796132	0.746323670194104	4.74951541740519	2.03904652253234e-06	4.50158732282139e-05	0.0e+00	RPS	[Eubacterium] cellulosolvens 81.25	lumped_feces	Otu127
Otu128	16.3680355917517	-4.39236726206112	1.52579250560879	-2.87874481354106	0.0039926125915453	0.0309697246965811	3.1e-02	Control	Roseburia inulinivorans 92.857	lumped_feces	Otu128
Otu138	9.74406979753947	-3.16931785286021	1.00869436850284	-3.14200014575703	0.00167797952334917	0.0166062111448694	1.7e-02	Control	Firmicutes bacterium CAG:176 89.247	lumped_feces	Otu138
Otu145	2.99138718908431	-2.84108123848911	0.740081038848095	-3.83887856782702	0.000123597535546284	0.00177362463508918	2.0e-03	Control	uncultured Clostridium sp. 100	lumped_feces	Otu145
Otu1471	2.77136611743182	4.19149775535752	0.748372563068338	5.60081697566828	2.13343902542929e-08	8.74710000426009e-07	0.0e+00	RPS	Roseburia sp. CAG:197 97.701	lumped_feces	Otu147
Otu149	3.0907173699506	1.56829484840231	0.584964781777954	2.68100729694461	0.00734009153733203	0.0478774152548703	4.8e-02	RPS	[Eubacterium rectale] ATCC 33656 94.949	lumped_feces	Otu149
Otu156	2.9076135237213	-2.69875857586729	0.898265130831633	-3.00441204187535	0.00266094686179583	0.0238653671667314	2.4e-02	Control	Clostridium sp. CAG:12237_41 96.429	lumped_feces	Otu156
Otu159	4.02221055896853	3.01854198489623	1.02205900267227	2.9533930790727	0.00314301466639376	0.0265307414486768	2.7e-02	RPS	[Eubacterium rectale] ATCC 33656 100	lumped_feces	Otu159
Otu175	4.66453822829882	-4.15121141905855	1.16191159297018	-3.57274292138429	0.000353261523765236	0.00457339977164539	5.0e-03	Control	Peptostreptococcaceae bacterium oral taxon 113 str. W5053 70.536	lumped_feces	Otu175
Otu1771	3.99998565776964	4.66894423455927	0.871550104900993	5.35705773919866	8.4588095177822e-08	3.03459791450436e-06	0.0e+00	RPS	Roseburia sp. CAG:197 98.925	lumped_feces	Otu177
Otu2041	1.55126090178505	-1.76647184754354	0.513496358409477	-3.44008641661077	0.000581528474931139	0.00667594689220947	7.0e-03	Control	Roseburia sp. CAG:197 83.908	lumped_feces	Otu204
Otu205	2.8810043038547	3.01792804604329	0.988097220359512	3.05428249757169	0.00225599534630708	0.0212035317576824	2.1e-02	RPS	[Eubacterium rectale] ATCC 33656 100	lumped_feces	Otu205
Otu208	1.61601443611998	-1.60509949919036	0.545651152635504	-2.94162211779029	0.00326498079565806	0.0267728425243961	2.7e-02	Control	Roseburia sp. CAG:197 84.783	lumped_feces	Otu208
Otu260	1.49132648619512	3.3035811037207	1.19620686141297	2.76171388936733	0.00574988408662476	0.0402491886063733	4.0e-02	RPS	Roseburia sp. CAG:197 96.809	lumped_feces	Otu260
Otu280	4.06538207377327	-3.66333458994622	0.934984920553907	-3.91806809865551	8.92614916074702e-05	0.00134831832059705	1.0e-03	Control	uncultured Flavonifractor sp. 85.714	lumped_feces	Otu280
Otu300	2.8682600041287	-3.2278175069004	0.900940923378748	-3.58271827057793	0.000340037281094212	0.00457339977164539	5.0e-03	Control	Oscillibacter valericigenes Sjm18-20 73.214	lumped_feces	Otu300
Otu0073	504.086497654995	2.84036044187972	0.647330690867371	4.38780438182819	1.14500687469288e-05	0.000226138857751843	0.0e+00	RPS	Roseburia sp. CAG:197 100	ileum	Otu007
Otu0102	240.810796598863	-1.96403726150173	0.553211551643022	-3.55024629487327	0.000384870898378543	0.00506746682865082	5.0e-03	Control	Pseudobutyrivibrio sp. JW11 91.071	ileum	Otu010
Otu0311	26.1574019892314	3.16369653673503	0.886422222502562	3.56906275183764	0.000358260613521672	0.00506746682865082	5.0e-03	RPS	Roseburia inulinivorans 100	ileum	Otu031
Otu0343	17.6435989737	4.61898493105185	1.02011350286193	4.52791274509483	5.95691680178253e-06	0.000156865475780273	0.0e+00	RPS	Anaerostipes hadrus 100	ileum	Otu034
Otu0352	17.1781300904883	2.01216506188973	0.704868328038458	2.85466800230517	0.00430818388648744	0.0378162807813897	3.8e-02	RPS	uncultured Clostridium sp. 100	ileum	Otu035
Otu038	24.0650060256363	3.55394739734138	1.06060066302082	3.35088174206772	0.000805546950986267	0.0090911727325593	9.0e-03	RPS	Clostridium sp. CAG:75 91.964	ileum	Otu038
Otu0453	17.4589593036676	4.71727419072034	0.980294756939538	4.81209774644473	1.49354270300677e-06	5.89949367687676e-05	0.0e+00	RPS	Clostridium sp. CAG:75 90.179	ileum	Otu045
Otu0491	19.0111420317757	-5.40539118108405	1.10876812983061	-4.87513217205284	1.0873562686262e-06	5.89949367687676e-05	0.0e+00	Control	Roseburia inulinivorans 93.75	ileum	Otu049
Otu0675	4.04688620919967	3.21865307449317	1.10905888146087	2.9021480539009	0.00370613338503496	0.0365980671772203	3.7e-02	RPS	Clostridium sp. CAG:167 100	ileum	Otu067
Otu0074	3610.35447550867	4.12751375030924	1.1450543521137	3.60464439324657	0.000312580626657582	0.00606406415715709	6.0e-03	RPS	Roseburia sp. CAG:197 100	cecum	Otu007
Otu0103	3548.68426695462	-5.25448778991139	1.17292753616811	-4.47980597938514	7.47109196600583e-06	0.000724695920702566	1.0e-03	Control	Pseudobutyrivibrio sp. JW11 91.071	cecum	Otu010
Otu0141	4374.12592265647	-4.96494872896807	1.4121766883266	-3.51581269540106	0.000438410157331667	0.00708763087686195	7.0e-03	Control	Helicobacter sp. MIT 05-5293 82.143	cecum	Otu014
Otu0344	55.510192555942	6.63298587245214	1.79849285644128	3.68808018819545	0.000225952448544148	0.00547934687719559	5.0e-03	RPS	Anaerostipes hadrus 100	cecum	Otu034
Otu040	195.534086698567	-6.15117050318573	1.8520678976992	-3.32124459952427	0.00089616960703924	0.0124183502689723	1.2e-02	Control	Roseburia inulinivorans 93.75	cecum	Otu040
Otu0454	69.9692896281011	6.28427309491864	1.6905305341879	3.71733782255373	0.000201333147039997	0.00547934687719559	5.0e-03	RPS	Clostridium sp. CAG:75 90.179	cecum	Otu045
Otu0492	111.59181059156	-8.31065277438783	1.95931077582218	-4.24162051112104	2.21911681312615e-05	0.00107627165436618	1.0e-03	Control	Roseburia inulinivorans 93.75	cecum	Otu049
Otu0676	10.0153794579142	4.79210320768189	1.53957849837287	3.11260725760103	0.00185442615776174	0.0219596263250329	2.2e-02	RPS	Clostridium sp. CAG:167 100	cecum	Otu067
Otu0732	4.41504333868033	-4.55860280637008	1.84007743456401	-2.47739726640917	0.0132344502811884	0.0987493597904054	9.9e-02	Control	Oscillibacter sp. 1-3 81.25	cecum	Otu073
Otu1001	7.52556095294531	-3.4902564523143	1.35548191356138	-2.57491923528808	0.0100263495747549	0.0810463257292689	8.1e-02	Control	Clostridiales bacterium CoAT_30-4c 81.25	cecum	Otu100
Otu1252	10.4222940083292	-4.98381870229073	1.61565104014344	-3.08471234100667	0.00203749110232264	0.0219596263250329	2.2e-02	Control	Pseudobutyrivibrio ruminis 89.474	cecum	Otu125
Otu1581	13.5293163590234	-5.41432717616629	2.0052748133426	-2.70004247803877	0.00693306233510271	0.0611370042277239	6.1e-02	Control	Pseudobutyrivibrio sp. OR37 92.473	cecum	Otu158
Otu270	10.4332143996291	-5.63326123905103	1.89067611500779	-2.97949563880105	0.00288723339891211	0.0280061639694475	2.8e-02	Control	Helicobacter sp. MIT 05-5293 82.796	cecum	Otu270
Otu0075	1822.7498930018	4.10496665213296	1.01703259391539	4.0362193667064	5.43194299548732e-05	0.00465120495566047	5e-03	RPS	Roseburia sp. CAG:197 100	colon	Otu007
Otu0345	88.8903907773959	6.86870651582822	1.80724606401076	3.80064820868097	0.000144318068571714	0.00920027687144674	9e-03	RPS	Anaerostipes hadrus 100	colon	Otu034
Otu0455	88.5980404250857	7.41745299091428	1.50900441911202	4.91546141082815	8.85735969307612e-07	0.000225862672173441	0e+00	RPS	Clostridium sp. CAG:75 90.179	colon	Otu045
Otu0677	10.2497509633366	5.42233753110334	1.34399440385255	4.03449412851739	5.47200583018878e-05	0.00465120495566047	5e-03	RPS	Clostridium sp. CAG:167 100	colon	Otu067
