group experiment tissue day pig_num treatment design
X2P78N5BFD12 FS2 feces 12 78 RPS feces_12_RPS
X2P78N5BFD15 FS2 feces 15 78 RPS feces_15_RPS
X2P78N5BFD19 FS2 feces 19 78 RPS feces_19_RPS
X2P78N5BXD21 FS2 cecum 21 78 RPS cecum_21_RPS
X2P78N5BiD21 FS2 ileum 21 78 RPS ileum_21_RPS
X2P79N5AMD21 FS2 cec_cont_RNA 21 79 RPS cec_cont_RNA_21_RPS
X2P79N5BCD21 FS2 colon 21 79 RPS colon_21_RPS
X2P79N5BFD12 FS2 feces 12 79 RPS feces_12_RPS
X2P79N5BFD15 FS2 feces 15 79 RPS feces_15_RPS
X2P79N5BFD19 FS2 feces 19 79 RPS feces_19_RPS
X2P79N5BXD21 FS2 cecum 21 79 RPS cecum_21_RPS
X2P79N5BiD21 FS2 ileum 21 79 RPS ileum_21_RPS
X2P80N5AMD21 FS2 cec_cont_RNA 21 80 RPS cec_cont_RNA_21_RPS
X2P80N5BCD21 FS2 colon 21 80 RPS colon_21_RPS
X2P80N5BFD12 FS2 feces 12 80 RPS feces_12_RPS
X2P80N5BFD15 FS2 feces 15 80 RPS feces_15_RPS
X2P80N5BXD21 FS2 cecum 21 80 RPS cecum_21_RPS
X2P80N5BiD21 FS2 ileum 21 80 RPS ileum_21_RPS
X2P81N4AFD12 FS2 feces 12 81 control feces_12_control
X2P81N4AFD15 FS2 feces 15 81 control feces_15_control
X2P81N4AFD19 FS2 feces 19 81 control feces_19_control
X2P82N4AFD12 FS2 feces 12 82 control feces_12_control
X2P83N4AFD12 FS2 feces 12 83 control feces_12_control
X2P83N4AFD15 FS2 feces 15 83 control feces_15_control
X2P83N4AFD19 FS2 feces 19 83 control feces_19_control
X2P84N4AFD12 FS2 feces 12 84 control feces_12_control
X2P84N4AFD15 FS2 feces 15 84 control feces_15_control
X2P85N4BFD12 FS2 feces 12 85 control feces_12_control
X2P85N4BFD15 FS2 feces 15 85 control feces_15_control
X2P85N4BFD19 FS2 feces 19 85 control feces_19_control
X2P86N4BFD12 FS2 feces 12 86 control feces_12_control
X2P86N4BFD15 FS2 feces 15 86 control feces_15_control
X2P86N4BFD19 FS2 feces 19 86 control feces_19_control
X2P87N4BFD12 FS2 feces 12 87 control feces_12_control
X2P87N4BFD15 FS2 feces 15 87 control feces_15_control
X2P87N4BFD19 FS2 feces 19 87 control feces_19_control
X2P90N5AFD12 FS2 feces 12 90 RPS feces_12_RPS
X2P90N5AFD15 FS2 feces 15 90 RPS feces_15_RPS
X2P91N5AFD12 FS2 feces 12 91 RPS feces_12_RPS
X2P91N5AFD15 FS2 feces 15 91 RPS feces_15_RPS
X2P91N5AFD19 FS2 feces 19 91 RPS feces_19_RPS
X2P92N5AFD12 FS2 feces 12 92 RPS feces_12_RPS
X2P92N5AFD15 FS2 feces 15 92 RPS feces_15_RPS
X2P93N5BFD12 FS2 feces 12 93 RPS feces_12_RPS
X2P93N5BFD15 FS2 feces 15 93 RPS feces_15_RPS
X2P93N5BFD19 FS2 feces 19 93 RPS feces_19_RPS
X2P94N5BFD12 FS2 feces 12 94 RPS feces_12_RPS
X2P94N5BFD15 FS2 feces 15 94 RPS feces_15_RPS
X2P94N5BFD19 FS2 feces 19 94 RPS feces_19_RPS
X2P95N5BFD12 FS2 feces 12 95 RPS feces_12_RPS
X2P95N5BFD15 FS2 feces 15 95 RPS feces_15_RPS
X2P95N5BFD19 FS2 feces 19 95 RPS feces_19_RPS
X2P96N5BFD12 FS2 feces 12 96 RPS feces_12_RPS
X2P96N5BFD15 FS2 feces 15 96 RPS feces_15_RPS
X2P96N5BFD19 FS2 feces 19 96 RPS feces_19_RPS
